dimensoes,pilar,tema,subtema,id,ordem_ces,nova_ordem,ordem_floripa_em_nr,orgao_responsavel,indicador,faixa_1,faixa_2,faixa_3,ano,valor
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,COBERTURA DE ÁGUA,1,1,1,7.1.2001,CASAN/FNR,Porcentagem de pessoas com serviço de abastecimento de água potável em relação à população total do município,> 90%–100%,75%–90%,< 75%,2014,82
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO USO DA ÁGUA,2,2,2,7.1.2005,CASAN/FNR,Quantidade total do consumo de água em litros por dia dividida pelo total da população. Inclui uso não doméstico.,120–200,80–120 ou 200–250,< 80 ou > 250,2014,250
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,3,3,3,N/A,CASAN,Média anual de horas/dia em que há o fornecimento contínuo de água.,> 20 h/dia,12–20 h/dia,< 12 h/dia,2014,"16,32"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,4,4,4,7.1.2004,CASAN/FNR,Qualidade da água: Porcentagem do número total de testes conformes em relação ao número total de testes de qualidade de água tratada realizados.,> 97%,90%–97%,< 90%,2014,95
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,5,5,5,7.1.2006,CASAN/FNR,Água não contabilizada = Índice de perdas na distribuição de água.,0%–30%,30%–45%,> 45%,2014,"44,67"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,6,6,6,N/A,SDE/SEMA,Número remanescente de anos de saldo hídrico positivo (volume de água disponível dividido pelo consumo anual real (faturado + perdido).,> 10,5–10,< 5,2014,2
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,SANEAMENTO E DRENAGEM,COBERTURA DE SANEAMENTO,7,7,7,N/A,CASAN,Porcentagem de moradias com ligação ao sistema de esgoto,> 75%,75%–60%,< 60%,2014,45
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,SANEAMENTO E DRENAGEM,TRATAMENTO DE ÁGUA RESIDUÁRIAS,8,8,8,N/A,CASAN,Porcentagem de águas residuais ou efluente (águas de esgoto) tratadas: total de m³ de águas residuais que entram anualmente nas estações de tratamento dividido pelo total de m³ de água faturadas.,> 60%,40%–60%,< 40%,2014,51
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,COBERTURA COLETA DE RESÍDUOS SÓLIDOS,10,10,10,N/A,COMCAP,Porcentagem das moradias com coleta regular de resíduos sólidos.,90%–100%,80%–90%,< 80%,2014,100
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,VOLUME DE RESIDUOS SÓLIDOS,11,L 5,11,N/A,COMCAP,"Toneladas totais de resíduos sólidos recolhidos (lixo convencional, coleta seletiva, lixo hospitalar, lixo pesado).",Sem valor de referência,Não Informado,Não Informado,2014,"216109,48"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,DISPOSIÇÃO FINAL DOS RESÍDUOS SÓLIDOS,13,11,13,7.3.2005,COMCAP/FNR,Porcentagem de resíduos sólidos municipais depositados em aterros sanitários,<35%,36%- 50%,> 50%,2014,"93,21"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,DISPOSIÇÃO FINAL DOS RESÍDUOS SÓLIDOS,14,12,14,N/A,COMCAP,Vida remanescente útil das instalações de aterro sanitário,> 8,5–8,< 5,2014,10
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,TRATAMENTO DOS                                                                    RESÍDUOS SÓLIDOS,15,14,15,N/A,COMCAP,Porcentagem de resíduos sólidos municipais compostados pela Prefeitura,> 20%,5%–20%,< 5%,2014,1
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,TRATAMENTO DOS                                                                    RESÍDUOS SÓLIDOS,16,15,16,7.3.2004,COMCAP/FNR,Porcentagem de resíduos sólidos separados e classificados para reciclagem,> 25%,15%–25%,< 15%,2014,5
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,GESTÃO DE RESÍDUOS  SÓLIDOS,TRATAMENTO DOS                                                                    RESÍDUOS SÓLIDOS,17,16,17,7.3.2006,COMCAP/FNR,Porcentagem de resíduos sólidos tratados em usinas de geração de energia a partir de resíduos em relação ao total de resíduos sólidos produzidos.,> 20 %,10%- 19%,< 10%,2014,0
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,COBERTURA ENERGÉTICA,18,17,18,N/A,CELESC,Porcentagem de domicílios(residenciais) com ligação autorizada à energia elétrica,90%–100%,70%–90%,< 70%,2014,"92,7"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,COBERTURA ENERGÉTICA,20,19,21,7.4.2007,CELESC /FNR,"Média de interrupção do fornecimento de energia elétrica por domicílio/ano, expresso em h/domicílio/ano",< 7h,7–10h,> 10h,2014,"6,54"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,EFICIÊNCIA ENERGÉTICA,21,21,22,N/A,CELESC,Consumo anual de eletricidade por cliente residencial em Kw/h,1500–3500 kWh/por domicílio/ano,"900–1500 kWh/por domicílio/ano
3500–5000 kWh/por domicílio/ano","< 900 kWh/por domicílio/ano
> 5000 kWh/por domicílio/ano",2014,"2,842"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ENERGIA,ENERGIA ALTERNATIVA E RENOVÁVEL,23,,25,7.4.2004,CELESC /FNR,Energia proveniente de fontes renováveis (porcentagem),> 50%,20%–50%,< 20%,2014,"84,5"
AMBIENTAL,MITIGAÇÃO DOS GASES DE EFEITO ESTUFA E OUTRAS FORMAS DE CONTAMINAÇÃO,QUALIDADE DO AR,CONTROLE DA QUALIDADE DO AR E CONCENTRAÇÃO DE CONTAMINANTES NO AR,25,27,27,6.4.2002,FLORAM/FNR,Concentração de Material Particulado (MP) 10,< 50 MP 10 em média em 24 horas em μg/m3,50–150 MP 10 em média em 24 horas em μg/m3,> 150 MP 10 em média em 24 horas em μg/m3,2014,23
AMBIENTAL,MITIGAÇÃO DOS GASES DE EFEITO ESTUFA E OUTRAS FORMAS DE CONTAMINAÇÃO,MITIGAÇÃO DA MUDANÇA CLIMÁTICA,EMISSÕES TOTAIS DE GEE,26,29,28,6.3.2003,FLORAM/FNR,Emissões de GEE -Toneladas per capita (População projetada do IBGE),< 5,5–10,> 10,2014,"2,17"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,USO DO SOLO / ORDENAMENTO TERRITORIAL,DENSIDADE,33,41,36,N/A,IPUF,Porcentagem de crescimento anual da quilometragem da malha urbana,< 3%,3%–5%,> 5%,2014,"2,1"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,USO DO SOLO / ORDENAMENTO TERRITORIAL,DENSIDADE,34,42,37,N/A,IPUF,Quantidade de população por km² de área urbanizada (exclui-se as áreas de agricultura e açudes de mais de 5 km),7.000 - 20.000,4.000–7.000; 20.000–25.000,< 4.000;                                         > 25.000,2014,"4,523"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,USO DO SOLO / ORDENAMENTO TERRITORIAL,DENSIDADE,35,L 8,38,N/A,IPUF,Porcentagem de crescimento demográfico,<1%,"1% - 1,5%","> 1,5%",2014,"1,7"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,USO DO SOLO / ORDENAMENTO TERRITORIAL,Não Informado,37,44,40,N/A,SMDU,Déficit de moradias quantitativo,< 10%,10%–25%,> 20%,2014,"7,6"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,USO DO SOLO / ORDENAMENTO TERRITORIAL,ÁREAS VERDE E DE RECREAÇÃO,38,45,41,N/A,IPUF,Quantidade de hectares de áreas verdes permanentes de lazer (de acordo com o Plano Diretor) para cada 100.000 habitantes (população projetada IBGE),> 50,20–50,< 20,2014,"2,894"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,USO DO SOLO / ORDENAMENTO TERRITORIAL,PLANEJAMENTO DO SOLO,43,L 4,46,1.9.2001,SMPIU,Porcentagem de área parcelada irregularmente sobre área urbanizável. (Floripa em Números = Núcelos Urbanos informais),< 10%,10% - 25%,> 25%,2014,"44,2"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,DESIGUALDADE URBANA,DESIGUALDADE DE RENDA,51,51,55,5.2.10,SEMAS/FRN,Coeficiente de Gini da renda (Fonte: PENAD Contínua do IBGE),"< 0,40","0,40–0,49","> 0,49",2014,"5,474"
URBANO,CONTROLE DO CRESCIMENTO E MELHORIA DO HABITAT URBANO,DESIGUALDADE URBANA,DESIGUALDADE DE RENDA,52,L 17,56,N/A,SMTTDE,Remuneração média dos trabalhadores formais (Fonte: Secretaria do Trabalho - RAIS),Acima de R$ 3.280,R$ 2.569 a R$ 3.280,R$ 788  a R$ 2.568,2014,"3,515"
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,INFRAESTRUTURA DE TRANSPORTE EQUILIBRADA,53,52,57,N/A,SMPIU,Quilômetros de vias públicas por 100 mil habitantes (População projetada do IBGE),< 300,300–400,> 400,2014,"826,7"
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,INFRAESTRUTURA DE TRANSPORTE EQUILIBRADA,56,53,60,2.1.2004,SMTI,Quilômetros de vias dedicadas exclusivamente ao  transporte público por 100 mil habitantes (população projetada do IBGE),> 40,10–40,< 10,2014,0
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,INFRAESTRUTURA DE TRANSPORTE EQUILIBRADA,57,54,61,somar: 2.2.2 + 2.2.3 + 2.2.4,SMTI/FNR,"Quilômetros de ciclovias, ciclofaixas e ciclorotas por 100 mil habitantes (população projetada IBGE)",> 25,15–25,< 15,2014,"11,03"
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,INFRAESTRUTURA DE TRANSPORTE EQUILIBRADA,66,56,70,N/A,SMTI,"Distribuição modal: porcentagem do transporte realizado via bicicleta, barco, taxi, aplicativo, carro particular e ônibus.",> 65%,50%–65%,< 50%,2014,31
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,TRANSPORTE LIMPO,70,57,74,N/A,SMTI,Idade média da frota do transporte público,< 6,6–12,> 12,2014,"6,53"
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,TRANSPORTE SEGURO,71,58,75,10.2.2001,SSP/FNR,Vítimas mortais de acidentes de trânsito por 100 mil habitantes,< 10,10–20,> 20,2014,"23,18"
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,MENOS CONGESTIONAMENTO,73,59,77,N/A,SMTI,Velocidade média de viagem (transporte público e privado) nas principais vias públicas durante os horários de pico,> 30,15–30,< 15,2014,15
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,MENOS CONGESTIONAMENTO,74,60,78,2.4.2001,SMTI/FNR,"Número de veículos de uso pessoal (automóveis, SUV's, etc) registrados no DETRAN local (exceto táxis) per capita (população projetada IBGE)","< 0,3","0,3–0,4","> 0,4",2014,"0,46"
URBANO,PROMOÇÃO DO TRANSPORTE URBANO SUSTENTÁVEL,MOBILIDADE / TRANSPORTE,TRANSPORTE ECONÔMICO,75,62,79,N/A,SMTI,Índice de acessibilidade (Salário Mínimo Nacional/(44 viagens mês* valor da tarifa em dinheiro)),Até 5%,5%–10%,> 10%,2014,25
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,AMBIENTE DE NEGÓCIOS,REG. NEGÓCIOS E INVESTIMENTOS,76,65,80,N/A,SMDECT,Quantidade de dias para abrir uma empresa,< 12,12–20,> 20,2014,3
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,TECIDO PRODUTIVO,CRESCIMENTO PRODUTIVO,81,67,85,8.2.2001,SMDECT/SIE/FRN,PIB per capita da cidade (Fonte IBGE - Estatisticas),>US$ 9.000,US$ 3.000–US$ 9.000,< US$ 3.000,2014,"36,652"
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,TECIDO PRODUTIVO,CRESCIMENTO PRODUTIVO,82,68,86,N/A,SMTDI,Taxa de crescimento do PIB per capita da cidade (Fonte: IBGE Estatísticas),"> 2,5%
O crescimento do PIB per capita da cidade é positivo e superior ao crescimento do PIB nacional (2)","2-2,5%
O crescimento do PIB per capita da cidade é positivo e igual ou similar ao crescimento do PIB nacional (1)","<2%
O crescimento do PIB per capita da cidade é positivo e igual ou similar ao ao crescimento do PIB nacional (0)",2014,"4,28"
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,TECIDO PRODUTIVO,CRESCIMENTO PRODUTIVO,83,L 13,87,N/A,"Secretaria Executiva de Desenvolvimento Econômico, Ciência e Tecnologia",Porcentagem do PIB de Florianópolis em relação ao PIB de SC,> maior que a inflação,igual a inflação,< que a inflação,2014,"7,14"
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,TECIDO PRODUTIVO,CRESCIMENTO PRODUTIVO,84,EBA 1,88,N/A,SMTDI,Taxa de crescimento do PIB da cidade (Fonte: IBGE Estatisticas),">3,5%
O crescimento do PIB da cidade é positivo e superior ao crescimento do PIB nacional (2)","3-3,5%
O crescimento do PIB  da cidade é positivo e igual ou similar ao crescimento do PIB nacional (1)","<3%
O crescimento do PIB da cidade é positivo e igual ou similar ao ao crescimento do PIB nacional (0)",2014,"6,17"
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,MERCADO LABORAL,DESEMPREGO,85,69,89,8.1.2005,SMTDI/FNR,Taxa de desemprego (Fonte: IBGE - ESTATISTICAS - PNAD Contínua),< 7%,7%–12%,> 12%,2014,5
URBANO,PROMOÇÃO DO DESENVOLVIMENTO ECONÔMICO LOCAL COMPETITIVO SUSTENTÁVEL,MERCADO LABORAL,EMPREGO INFORMAL,87,70,91,N/A,SMTDI,Emprego informal como porcentagem do emprego total (Fonte: IBGE - ESTATISTICAS - PNAD Contínua) https://cidades.ibge.gov.br/brasil/sc/florianopolis/panorama,< 20%,20%–35%,> 35%,2014,"42,85"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,QUALIDADE DO ENSINO,89,76,94,N/A,SME,Taxa de analfabetismo de pessoas acima de 15 anos,"< 0,5%","0,5% - 2%",> 2%,2014,"2,1"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,QUALIDADE DO ENSINO,90,77,95,N/A,SME,Porcentagem de Estudantes do ensino fundamental com nível satisfatório em provas padronizadas (IDEB) de Leitura,>=70%,69%–50%,> 50%,2014,49
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,QUALIDADE DO ENSINO,91,78,96,N/A,SME,Porcentagem de Estudantes do ensino fundamental com nível satisfatório em provas padronizadas (IDEB) de Matemática,>=70%,69%–50%,> 50%,2014,44
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,QUALIDADE DO ENSINO,92,79,97,N/A,SME,Quantidade de alunos por professor nas escolas públicas,< 15:1,Entre 15:1 e 25:1,> 25:1,2014,17
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,ASSISTÊNCIA ESCOLAR,93,80,98,N/A,SME,Número de estudantes matriculados na pré-escola e recebem atendimento integral,Não Informado,Não Informado,Não Informado,2014,"71,8"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,ASSISTÊNCIA ESCOLAR,94,81,99,N/A,SME,Número de estudantes matriculados nos anos iniciais do ensino fundamental (6 a 11 anos),Não Informado,Não Informado,Não Informado,2014,"88,6"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,ASSISTÊNCIA ESCOLAR,95,82,100,N/A,SME,Número de estudantes matriculados nos anos finais do ensino fundamental (12 a 15 anos),Não Informado,Não Informado,Não Informado,2014,"88,6"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,EDUCAÇÃO,ASSISTÊNCIA ESCOLAR,96,83,101,N/A,SEE,Número de estudantes matriculados no ensino médio (16 a 18 anos),Não Informado,Não Informado,Não Informado,2014,"90,9"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SEGURANÇA,VIOLÊNCIA,101,85,104,10.1.2005,SSP/FNR,Quantidade de homicídios por 100 mil habitantes - população projetada pelo IBGE,< 10,10–25,> 25,2014,"11,25"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SEGURANÇA,VIOLÊNCIA,105,88,108,N/A,SSP,Roubos por 100 mil habitantes - população projetada pelo IBGE,< 300,300–1.000,> 1.000,2014,460
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SEGURANÇA,VIOLÊNCIA,106,89,109,N/A,SSP,Furtos por 100 mil habitantes - população projetada pelo IBGE,< 3.000,3.000–5.000,> 5.000,2014,"2,914"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SEGURANÇA,VIOLÊNCIA,109,,112,10.1.10,SSP/FNR,Crimes contra a propriedade por 100 000 habitantes,<50,50-75,>75,2014,75
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SEGURANÇA,ESTRUTURAS DE SEGURANÇA,110,L 20,113,N/A,SSP,Quantidade de CONSEGs ativos,sem valor de referência,Não Informado,Não Informado,2014,13
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SAÚDE,NÍVEL DE SAÚDE,114,95,117,3.1.2004,SMS/FNR,Taxa de mortalidade infantil (crianças menores de 5 anos)por 100.000 habitantes (População projetada IBGE),< 20,20 -30,> 30,2014,"10,6"
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SAÚDE,NÍVEL DE SAÚDE,125,L 23,128,3.1.2009,SMS/FNR,"Prevalência de obesidade: Percentual de indivíduos, com Índice de Massa Corporal (IMC) maior ou igual a 25 (População projetada pelo IBGE)",sem valor de referência,Não Informado,Não Informado,2014,14
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SAÚDE,OFERTA DE SERVIÇOS DE SAÚDE,127,96,130,3.1.2003,SMS/FNR,Quantidade de médicos por 100 mil habitantes (População projetada pelo IBGE),> 200,75 - 200,< 75,2014,783
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SAÚDE,OFERTA DE SERVIÇOS DE SAÚDE,128,97,131,N/A,SMS,"Quantidade de leitos de hospital por 100 mil habitantes, em hospitais públicos e privados",> 100,50 - 100,< 50,2014,430
URBANO,OFERTA DE SERVIÇOS SOCIAIS DE ALTO NÍVEL E PROMOÇÃO DA COESÃO SOCIAL,SAÚDE,OFERTA DE SERVIÇOS DE SAÚDE,135,L 21,138,N/A,SMS,Cobertura de vacinas,sem valor de referência,Não Informado,Não Informado,2014,"75,22"
URBANO,COMPETITIVIDADE,CAPITAL HUMANO,CULTURA,136,L 18,139,N/A,SMF,Investimento em cultura per capita: por habitante (população projetada IBGE),"> R$ 26,83","R$ 17,88  a R$ 26,82","< R$ 17,87",2014,"28,8"
URBANO,COMPETITIVIDADE,CAPITAL HUMANO,CULTURA,137,L 19,140,N/A,SMF,"Investimento em cultura sobre receita corrente líquida: total da receita líquida investida em cultura, no ano.","> R$ 2,47","R$ 1,77 a R$ 2,47","< R$ 1,76",2014,"3,31"
FISCAL,MECANISMOS ADEQUADOS DE GOVERNO,TRANSPARÊNCIA,TRANSPARÊNCIA E AUDITORIA DA GESTÃO PÚBLICA,164,114,,N/A,Controladoria Geral do Município,Índice de transparência: Consultar transparência internacional Brasil,> 6,"3,0 - 6,0",< 3,2014,"6,91"
FISCAL,GESTÃO ADEQUADA DA RECEITA,IMPOSTOS E AUTONOMIA FINANCEIRA,RECEITAS E IMPOSTOS MUNICIPAIS,165,118,168,9.2.2006,SMF/FNR,"Receita própria: Porcentagem da receita do governo municipal proveniente de tributos (tarifas, encargos e impostos) permitidos pela lei em relação à receita total.",Comparar com as metas da PMF,Não Informado,Não Informado,2014,"54,3"
FISCAL,GESTÃO ADEQUADA DA RECEITA,IMPOSTOS E AUTONOMIA FINANCEIRA,RECEITAS E IMPOSTOS MUNICIPAIS,166,119,169,N/A,SMF,Porcentagem das transferências totais recebidas de outros níveis de governo em relação a receita total.,Comparado com diferentes cidades - sem padrão - fazer parâmetro em SC,Não Informado,Não Informado,2014,"42,9"
FISCAL,GESTÃO ADEQUADA DA RECEITA,IMPOSTOS E AUTONOMIA FINANCEIRA,RECEITAS E IMPOSTOS MUNICIPAIS,167,120,170,N/A,SMF,Porcentagem das transferências recebidas destinadas a usos específicos (pré-definidos) em relação as transferências totais,Comparado com diferentes cidades - sem padrão - fazer parâmetro em SC,Não Informado,Não Informado,2014,"0,5"
FISCAL,GESTÃO ADEQUADA DAS DESPESAS,GESTÃO DO GASTO PÚBLICO,QUALIDADE DO GASTO PÚBLICO,176,126,179,N/A,SMF (Siconfi-TCE/SC),Porcentagem dos gastos correntes em relação aos gastos totais,Comparado com diferentes cidades - sem padrão - fazer parâmetro em SC,Não Informado,Não Informado,2014,"86,6"
FISCAL,GESTÃO ADEQUADA DAS DESPESAS,GESTÃO DO GASTO PÚBLICO,QUALIDADE DO GASTO PÚBLICO,177,127,180,9.2.2005,SMF/FNR,Despesas de capital como porcentagem do total de gastos: Percentual de investimentos em ativo fixo (despesas de capital) em relação aos gastos totais,Comparado com diferentes cidades - sem padrão - fazer parâmetro em SC,Não Informado,Não Informado,2014,"13,4"
FISCAL,GESTÃO ADEQUADA DAS DESPESAS,GESTÃO DO GASTO PÚBLICO,QUALIDADE DO GASTO PÚBLICO,178,128,181,N/A,SMF,Taxa média de crescimento anual do gasto corrente: Porcentagem de variação no ano dos gastos correntes,< 0,0 - IPCA,> IPCA,2014,"6,1"
FISCAL,GESTÃO ADEQUADA DAS DESPESAS,GESTÃO DO GASTO PÚBLICO,QUALIDADE DO GASTO PÚBLICO,179,L 1,182,N/A,SMF,Despesa de pessoal/Receita corrente líquida: percentual da depesas totais (salário + engargos + vales transporte e alimentação + plano de saúde) e de pessoal em relação a receita corrente líquida,"< 51,3%","51,3% a 54%",> 54%,2014,"53,9"
FISCAL,Gestao Adequada da Divida,Divida,SUSTENTABILIDADE DA DÍVIDA,181,131,184,9.2.2004,SMF/FNR,Crescimento do serviço da dívida: Porcentagem dos juros da dívida em relação a receita própria,< 5%,5% - 10%,> 10%,2014,"7,9"
FISCAL,Gestao Adequada da Divida,Divida,SUSTENTABILIDADE DA DÍVIDA,182,132,185,N/A,SMF,Crescimento da dívida: Porcentagem de crescimento da dívida (Emprestimos de curto e longo prazo),A taxa de crescimento real anual é negativa,A taxa de crescimento real anual está entre 0% e 2%,A taxa de crescimento real anual é superior a 2%,2014,"11,8"
FISCAL,Gestao Adequada da Divida,Divida,LEI DE RESPONSABILIDADE FISCAL,183,L 2,186,N/A,SMF,Dívida consolidada líquida/Receita corrente líquida: Porcentagem da dívida consolidada líquida em relação a receita corrente líquida,< 50%,50% a 60%,> 60%,2014,"33,9"
FISCAL,Gestao Adequada da Divida,Divida,LEI DE RESPONSABILIDADE FISCAL,184,L 3,187,N/A,SMF,Operação de Crédito/Receita Corrente Líquida:Porcentagem do valor das operações de crédito contratadas no ano em relação a receita corrente líquida,Menor 10%,Entre 10 e 16%,Acima 16%,2014,"2,45"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,COBERTURA DE ÁGUA,1,1,1,7.1.2001,CASAN/FNR,Porcentagem de pessoas com serviço de abastecimento de água potável em relação à população total do município,> 90%–100%,75%–90%,< 75%,2015,100
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO USO DA ÁGUA,2,2,2,7.1.2005,CASAN/FNR,Quantidade total do consumo de água em litros por dia dividida pelo total da população. Inclui uso não doméstico.,120–200,80–120 ou 200–250,< 80 ou > 250,2015,"160,23"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,4,4,4,7.1.2004,CASAN/FNR,Qualidade da água: Porcentagem do número total de testes conformes em relação ao número total de testes de qualidade de água tratada realizados.,> 97%,90%–97%,< 90%,2015,"90,46"
AMBIENTAL,MANEJO AMBIENTAL E CONSUMO DOS RECURSOS NATURAIS,ÁGUA,EFICIÊNCIA NO SERVIÇO DE ABASTECIMENTO DE ÁGUA,5,5,5,7.1.2006,CASAN/FNR,Água não contabilizada = Índice de perdas na distribuição de água.,0%–30%,30%–45%,> 45%,2015,"29,3"
